full_text,cleaned_text,tokenized_text,stopwords,stemmed_text
ditunggu ya po tapi aku beneran berharap film kalian sukses besar. soalnya kemarin pas jumbo si gibran kan numpang nampang tuh. nah kali ini siapa tau fufufafa yang akhirnya nongol. ,ditunggu ya po tapi aku beneran berharap film kalian sukses besar soalnya kemarin pas jumbo si gibran kan numpang nampang tuh nah kali ini siapa tau fufufafa yang akhirnya nongol,"['ditunggu', 'ya', 'po', 'tapi', 'aku', 'beneran', 'berharap', 'film', 'kalian', 'sukses', 'besar', 'soalnya', 'kemarin', 'pas', 'jumbo', 'si', 'gibran', 'kan', 'numpang', 'nampang', 'tuh', 'nah', 'kali', 'ini', 'siapa', 'tau', 'fufufafa', 'yang', 'akhirnya', 'nongol']","['ditunggu', 'ya', 'po', 'beneran', 'berharap', 'film', 'sukses', 'kemarin', 'pas', 'jumbo', 'si', 'gibran', 'numpang', 'nampang', 'tuh', 'kali', 'tau', 'fufufafa', 'nongol']",tunggu ya po beneran harap film sukses kemarin pas jumbo si gibran numpang nampang tuh kali tau fufufafa nongol
Aku bangga banget pas mereka masuk berita dan diliput TV lagi sediain konsumsi buat temen-temen yang ikut demo. Pas mereka ngadain nobar film Jumbo juga aku ikut donasi. Ada masalah internal apa sih? Senggak bisa itu kah diselesaikan dengan baik-baik dan kepala dingin?,aku bangga banget pas mereka masuk berita dan diliput tv lagi sediain konsumsi buat tementemen yang ikut demo pas mereka ngadain nobar film jumbo juga aku ikut donasi ada masalah internal apa sih senggak bisa itu kah diselesaikan dengan baikbaik dan kepala dingin,"['aku', 'bangga', 'banget', 'pas', 'mereka', 'masuk', 'berita', 'dan', 'diliput', 'tv', 'lagi', 'sediain', 'konsumsi', 'buat', 'tementemen', 'yang', 'ikut', 'demo', 'pas', 'mereka', 'ngadain', 'nobar', 'film', 'jumbo', 'juga', 'aku', 'ikut', 'donasi', 'ada', 'masalah', 'internal', 'apa', 'sih', 'senggak', 'bisa', 'itu', 'kah', 'diselesaikan', 'dengan', 'baikbaik', 'dan', 'kepala', 'dingin']","['bangga', 'banget', 'pas', 'masuk', 'berita', 'diliput', 'tv', 'sediain', 'konsumsi', 'tementemen', 'demo', 'pas', 'ngadain', 'nobar', 'film', 'jumbo', 'donasi', 'internal', 'sih', 'senggak', 'kah', 'diselesaikan', 'baikbaik', 'kepala', 'dingin']",bangga banget pas masuk berita liput tv ain konsumsi tementemen demo pas ngadain nobar film jumbo donasi internal sih senggak kah selesai baikbaik kepala dingin
@Adriandhy Merchandise jumbo knp ga bareng dgn film nya ?? Klo skrg dah berkurang hype nya...atau memang ga ngitung klo merchandise profit nya gede,merchandise jumbo kenapa tidak bareng dgn film nya klo skrg dah berkurang hype nyaatau memang tidak ngitung klo merchandise profit nya gede,"['merchandise', 'jumbo', 'kenapa', 'tidak', 'bareng', 'dgn', 'film', 'nya', 'klo', 'skrg', 'dah', 'berkurang', 'hype', 'nyaatau', 'memang', 'tidak', 'ngitung', 'klo', 'merchandise', 'profit', 'nya', 'gede']","['merchandise', 'jumbo', 'bareng', 'dgn', 'film', 'nya', 'klo', 'skrg', 'dah', 'berkurang', 'hype', 'nyaatau', 'ngitung', 'klo', 'merchandise', 'profit', 'nya', 'gede']",merchandise jumbo bareng dgn film nya klo skrg dah kurang hype nyaatau ngitung klo merchandise profit nya gede
Salah satu kegagalan Snyderverse adalah gak menancapkan legacy Superman ke para anak kecil di dunia. Kalah jauh lhah Superman sekarang &amp; sama legacy film Jumbo ke anak-anak Indonesia. Emang klo pengen disukai anak-anak tuh Superman harus pake kolor di luar.,salah satu kegagalan snyderverse adalah tidak menancapkan legacy superman ke para anak kecil di dunia kalah jauh lhah superman sekarang amp sama legacy film jumbo ke anakanak indonesia emang klo pengen disukai anakanak tuh superman harus pake kolor di luar,"['salah', 'satu', 'kegagalan', 'snyderverse', 'adalah', 'tidak', 'menancapkan', 'legacy', 'superman', 'ke', 'para', 'anak', 'kecil', 'di', 'dunia', 'kalah', 'jauh', 'lhah', 'superman', 'sekarang', 'amp', 'sama', 'legacy', 'film', 'jumbo', 'ke', 'anakanak', 'indonesia', 'emang', 'klo', 'pengen', 'disukai', 'anakanak', 'tuh', 'superman', 'harus', 'pake', 'kolor', 'di', 'luar']","['salah', 'kegagalan', 'snyderverse', 'menancapkan', 'legacy', 'superman', 'anak', 'dunia', 'kalah', 'lhah', 'superman', 'amp', 'legacy', 'film', 'jumbo', 'anakanak', 'indonesia', 'emang', 'klo', 'pengen', 'disukai', 'anakanak', 'tuh', 'superman', 'pake', 'kolor']",salah gagal snyderverse tancap legacy superman anak dunia kalah lhah superman amp legacy film jumbo anakanak indonesia emang klo ken suka anakanak tuh superman pake kolor
 Hai! Aku sedang coba bangun blog tentang film. Aku butuh bantuan kamu untuk kasih komentar jujur di artikel ini Ulasan filmnya bisa kamu cek di sini https://t.co/bTmDvuCVBd,hai aku sedang coba bangun blog tentang film aku butuh bantuan kamu untuk kasih komentar jujur di artikel ini ulasan filmnya bisa kamu cek di sini,"['hai', 'aku', 'sedang', 'coba', 'bangun', 'blog', 'tentang', 'film', 'aku', 'butuh', 'bantuan', 'kamu', 'untuk', 'kasih', 'komentar', 'jujur', 'di', 'artikel', 'ini', 'ulasan', 'filmnya', 'bisa', 'kamu', 'cek', 'di', 'sini']","['hai', 'coba', 'bangun', 'blog', 'film', 'butuh', 'bantuan', 'kasih', 'komentar', 'jujur', 'artikel', 'ulasan', 'filmnya', 'cek']",hai coba bangun blog film butuh bantu kasih komentar jujur artikel ulas film cek
@saudaradina @Adriandhy Aboorijal Bakery adalah toko roti fiktif dalam film animasi Indonesia Jumbo (2025) yang berlatar di Kampung Seruni. Nama Aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi Indonesia untuk meniru pengucapan yang salah agar terdengar mewah. ,aboorijal bakery adalah toko roti fiktif dalam film animasi indonesia jumbo 2025 yang berlatar di kampung seruni nama aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi indonesia untuk meniru pengucapan yang salah agar terdengar mewah,"['aboorijal', 'bakery', 'adalah', 'toko', 'roti', 'fiktif', 'dalam', 'film', 'animasi', 'indonesia', 'jumbo', '2025', 'yang', 'berlatar', 'di', 'kampung', 'seruni', 'nama', 'aboorijal', 'adalah', 'plesetan', 'lucu', 'dari', 'kata', 'original', 'sering', 'dipakai', 'dalam', 'komedi', 'indonesia', 'untuk', 'meniru', 'pengucapan', 'yang', 'salah', 'agar', 'terdengar', 'mewah']","['aboorijal', 'bakery', 'toko', 'roti', 'fiktif', 'film', 'animasi', 'indonesia', 'jumbo', '2025', 'berlatar', 'kampung', 'seruni', 'nama', 'aboorijal', 'plesetan', 'lucu', 'original', 'dipakai', 'komedi', 'indonesia', 'meniru', 'pengucapan', 'salah', 'terdengar', 'mewah']",aboorijal bakery toko roti fiktif film animasi indonesia jumbo 2025 latar kampung seruni nama aboorijal plesetan lucu original pakai komedi indonesia tiru ucap salah dengar mewah
WTS Promo Tiket B1G1 CINEPOLIS Bisa Semua Film Harga 1 tiket + 20K = 2 tiket ï¸ CGV diskon 3K/Tiket Promo GJLS Final Destination MI Jumbo Lilo Stitch Ballerina How to train ur dragon Gowok Hifive Bring Her Back Keluarga Super Irit Stok Terbatas ï¸ #zonauang https://t.co/DLHOtnqLIO,wts promo tiket b1g1 cinepolis bisa semua film harga 1 tiket 20k 2 tiket cgv diskon 3ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok terbatas,"['wts', 'promo', 'tiket', 'b1g1', 'cinepolis', 'bisa', 'semua', 'film', 'harga', '1', 'tiket', '20k', '2', 'tiket', 'cgv', 'diskon', '3ktiket', 'promo', 'gjls', 'final', 'destination', 'mi', 'jumbo', 'lilo', 'stitch', 'ballerina', 'how', 'to', 'train', 'ur', 'dragon', 'gowok', 'hifive', 'bring', 'her', 'back', 'keluarga', 'super', 'irit', 'stok', 'terbatas']","['wts', 'promo', 'tiket', 'b1g1', 'cinepolis', 'film', 'harga', '1', 'tiket', '20k', '2', 'tiket', 'cgv', 'diskon', '3ktiket', 'promo', 'gjls', 'final', 'destination', 'mi', 'jumbo', 'lilo', 'stitch', 'ballerina', 'how', 'to', 'train', 'ur', 'dragon', 'gowok', 'hifive', 'bring', 'her', 'back', 'keluarga', 'super', 'irit', 'stok', 'terbatas']",wts promo tiket b1g1 cepol film harga 1 tiket 20k 2 tiket cgv diskon 3ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok batas
Tau kalo aku ajakin atau kakak ku ajkin pasti kita yg bayar ga mungkin kita biarin anak 9 taun kaya dia bayar sendiri. Makanya dia ga pernah minta ini itu. Sekarang aku nyesel karna film jumbo udh ga tayang tapi dia belum nonton. Fyi aku ga akan pernah nonton film kalo ga,tau kalo aku ajakin atau kakak ku ajkin pasti kita yang bayar tidak mungkin kita biarin anak 9 taun kaya dia bayar sendiri makanya dia tidak pernah minta ini itu sekarang aku nyesel karna film jumbo udh tidak tayang tapi dia belum nonton fyi aku tidak akan pernah nonton film kalo tidak,"['tau', 'kalo', 'aku', 'ajakin', 'atau', 'kakak', 'ku', 'ajkin', 'pasti', 'kita', 'yang', 'bayar', 'tidak', 'mungkin', 'kita', 'biarin', 'anak', '9', 'taun', 'kaya', 'dia', 'bayar', 'sendiri', 'makanya', 'dia', 'tidak', 'pernah', 'minta', 'ini', 'itu', 'sekarang', 'aku', 'nyesel', 'karna', 'film', 'jumbo', 'udh', 'tidak', 'tayang', 'tapi', 'dia', 'belum', 'nonton', 'fyi', 'aku', 'tidak', 'akan', 'pernah', 'nonton', 'film', 'kalo', 'tidak']","['tau', 'kalo', 'ajakin', 'kakak', 'ku', 'ajkin', 'bayar', 'biarin', 'anak', '9', 'taun', 'kaya', 'bayar', 'nyesel', 'karna', 'film', 'jumbo', 'udh', 'tayang', 'nonton', 'fyi', 'nonton', 'film', 'kalo']",tau kalo ajakin kakak ku ajkin bayar biarin anak 9 taun kaya bayar nyesel karna film jumbo udh tayang nonton fyi nonton film kalo
Film jumbo. Aku ga kepikiran buat ngajakin dia. Adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dg sering bilang 'jumbo si tentang apa?' Tapi ga pernah minta buat nonton. Kondisi keluargaku sekarang emang lagi baik ekonominya. Dan dia,film jumbo aku tidak kepikiran buat ngajakin dia adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dengan sering bilang jumbo si tentang apa tapi tidak pernah minta buat nonton kondisi keluargaku sekarang emang lagi baik ekonominya dan dia,"['film', 'jumbo', 'aku', 'tidak', 'kepikiran', 'buat', 'ngajakin', 'dia', 'adikku', 'emang', 'bukan', 'tipe', 'orang', 'yang', 'maksain', 'mau', 'nonton', 'tapi', 'dia', 'beberapa', 'kali', 'ngode', 'gitu', 'dengan', 'sering', 'bilang', 'jumbo', 'si', 'tentang', 'apa', 'tapi', 'tidak', 'pernah', 'minta', 'buat', 'nonton', 'kondisi', 'keluargaku', 'sekarang', 'emang', 'lagi', 'baik', 'ekonominya', 'dan', 'dia']","['film', 'jumbo', 'kepikiran', 'ngajakin', 'adikku', 'emang', 'tipe', 'orang', 'maksain', 'nonton', 'kali', 'ngode', 'gitu', 'bilang', 'jumbo', 'si', 'nonton', 'kondisi', 'keluargaku', 'emang', 'ekonominya']",film jumbo pikir ngajakin adik emang tipe orang maksain nonton kali ngode gitu bilang jumbo si nonton kondisi keluarga emang ekonomi
eps 2 pt 1 @AlloBankID : Day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng Prince Poetiray. alasannya krn ponakanku yg di kalimantan suka bgt sm film jumbo hadiah buat dia krn bln ini ultah. #PasBuatKamu #AlloBankFestival2025,eps 2 pt 1 day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng prince poetiray alasannya krn ponakanku yang di kalimantan suka banget sm film jumbo hadiah buat dia krn bln ini ultah,"['eps', '2', 'pt', '1', 'day', '2', 'sedikit', 'demi', 'sedikit', 'engkau', 'akan', 'berteman', 'baik', 'selain', 'treasure', 'aku', 'mau', 'nyanyi', 'brng', 'prince', 'poetiray', 'alasannya', 'krn', 'ponakanku', 'yang', 'di', 'kalimantan', 'suka', 'banget', 'sm', 'film', 'jumbo', 'hadiah', 'buat', 'dia', 'krn', 'bln', 'ini', 'ultah']","['eps', '2', 'pt', '1', 'day', '2', 'engkau', 'berteman', 'treasure', 'nyanyi', 'brng', 'prince', 'poetiray', 'alasannya', 'krn', 'ponakanku', 'kalimantan', 'suka', 'banget', 'sm', 'film', 'jumbo', 'hadiah', 'krn', 'bln', 'ultah']",eps 2 pt 1 day 2 engkau teman treasure nyanyi brng prince poetiray alas krn ponakan kalimantan suka banget sm film jumbo hadiah krn bln ultah
